word,freq
seal,1.5878532274892672e-05
smile,1.3555883432927469e-05
sprout,6.07145068389778e-07
branch,3.5819872054751657e-05
compete,9.020934161256215e-06
count,3.936528203551445e-05
crawl,2.7902828881767868e-06
giggle,7.145722436019369e-07
interview,3.164258991458974e-05
moisten,1.2294271012241344e-07
open,0.00023384564127674204
parachute,1.2795506114372897e-06
plow,1.100684847679098e-06
pounce,2.462278899186729e-07
shush,5.8572071198433405e-08
wave,2.3136705750371016e-05
weigh,3.5007942805463956e-06
weld,1.8375517694787026e-06
cry,1.134209799227101e-05
haul,2.7566223147351524e-06
hitchhike,4.539528218051195e-08
march,0.00015443457142553664
raft,1.3507306402580541e-06
row,2.892902608753692e-05
rub,3.349401219370774e-06
shear,2.8160666591199626e-06
celebrate,8.791824876544461e-06
communicate,1.2677060392076e-05
dive,8.054042750887114e-06
drum,1.3674892132437498e-05
massage,1.725452859094629e-05
pee,1.250051971445107e-05
phone,0.0002504066170662051
pitch,9.562373837121382e-06
place,0.0002156000122795649
shovel,1.0063398188684413e-06
walk,3.8178407035189956e-05
yawn,6.743159579232682e-07
hang,1.08084521846528e-05
kiss,1.4431029071497669e-05
scratch,7.27627558333836e-06
sell,0.00013435018274590013
surf,1.1125872787454232e-05
taxi,7.115337277663493e-06
discuss,4.215822077113343e-05
harvest,9.141172239082613e-06
hunch,3.192432049403045e-07
jump,4.306477214720151e-05
race,5.102623880807763e-05
read,0.0003144981617442451
run,0.00011436493269481105
salute,1.7853334376423355e-06
type,0.00026571827714523696
dance,4.9904921870019193e-05
jog,9.77461136798657e-07
mime,5.615886986219384e-06
rot,1.9890531330298137e-06
study,0.00014926053276319152
teach,1.8616088493056242e-05
trim,1.0142528197284373e-05
arrange,7.540050409480528e-06
emerge,4.1460988615974776e-06
grin,2.0224785634760155e-06
mend,6.568158551594444e-07
plummet,2.311494672986834e-07
shake,6.673103553444027e-06
shop,0.00020762233538746007
spread,2.3924651389821656e-05
stretch,1.1185025398413172e-05
stuff,7.946517030270229e-05
vacuum,1.396846669868965e-05
adjust,8.893494463308285e-06
attach,9.213230395272215e-06
farm,4.6769902763687724e-05
give,0.00013726945766607353
grind,2.421979682836695e-06
hike,3.7273267492791548e-06
hug,2.8715477219800935e-06
laugh,9.583756238552538e-06
leap,4.651672888628155e-06
pedal,3.6722359652496177e-06
check,0.00023854924173947776
crouch,9.849613202255924e-07
kick,1.2627129094186912e-05
manicure,9.086120482936136e-07
operate,1.7806454083292433e-05
scoop,5.144235019446838e-06
strip,1.825669730481276e-05
din,4.8690045339296675e-06
examine,1.2713922227625579e-05
fall,6.390924153348134e-05
float,8.594578931259456e-06
pat,1.472097989880776e-05
shout,3.869478983443393e-06
sit,1.9316244812353125e-05
socialize,3.981878310957316e-07
tilt,4.803476718272977e-06
cling,9.232836052327091e-07
dust,1.4628744327076461e-05
feed,6.114087182594531e-05
inject,1.1587837057954363e-06
catch,1.990517556771909e-05
fling,6.664001275417504e-07
stack,1.0821045506818983e-05
chase,1.0705294659847335e-05
drip,1.8047927401357398e-06
lap,6.183977827728722e-06
forage,1.3108226784356904e-06
nuzzle,2.985828193457479e-08
sleep,2.877480643193072e-05
unload,8.552394668157655e-07
crush,3.4894322880907352e-06
draw,2.2153564105193068e-05
sketch,4.018229856935894e-06
tug,1.5336582309456504e-06
pour,1.4638075893915958e-05
cart,0.00014845745894057
smell,6.481229796262146e-06
apply,7.44861568990961e-05
balloon,6.5563077349034645e-06
hoist,8.831102538055416e-07
rest,5.201637034711152e-05
spray,1.4779989082296458e-05
assemble,2.537734432596648e-06
insert,1.965129235853832e-05
rid,7.68603420606412e-06
wash,1.2306232082701966e-05
admire,2.142930318962164e-06
bite,5.910969004454706e-06
brush,9.775200689020766e-06
carry,3.2253107967772924e-05
chew,1.8987572470865674e-06
destroy,9.573067477079652e-06
dip,5.697869933070983e-06
drag,8.928195129833452e-06
fix,3.1548242934384926e-05
glow,5.200366872256984e-06
gnaw,9.218581118039654e-08
grimace,1.4040768779148373e-07
lick,3.3485630955820743e-06
lift,1.4919941119553223e-05
load,3.697523496659694e-05
measure,3.1304053275659035e-05
overflow,3.5688930579996225e-06
pull,1.8598611807022254e-05
push,2.0270250191433096e-05
put,0.0001124052695091191
repair,4.830996839733465e-05
rinse,1.8400144288997493e-06
scrub,2.3029368339289894e-06
sniff,1.0160138553817839e-06
throw,1.53691657133257e-05
eat,2.8526845704004213e-05
practice,8.199544553114922e-05
press,0.00017528664344343645
clean,4.427884275213886e-05
